1957,,,
217. Jamey Harris (Reebok Aggies),3:59.19 (1),Stanford,27-May
218. Marc Davis (Nike),3:54.30* (8),Nice,16-Jul
219. Darin Shearer (CMS),3:59.76 (2),Falmouth,16-Aug
,,,
1998,,,
220. David Krummenacker (Georgia Tech),3:58.62i (2),Gainesville,7-Feb
221. Ryan Travis (Arkansas),3:59.69i (1),Ames,7-Feb
222. Seneca Lassiter (Arkansas),3:59.60i (4),New York,13-Feb
223. Brian Gallagher (La Salle),3:59.91i* (2),Boston,14-Feb
224. Gabe Jennings (Stanford),3:59.32 (3),Walnut,19-Apr
225. Brian Baker (New Balance),3:58.80* (3),Brunswick,4-Jul
226. Michael Stember (Stanford),3:59.31 (5),Brunswick,4-Jul
227. Scott Anderson (Reebok East),3:59.80 (7),Brunswick,4-Jul
,,,
1999,,,
228. Bryan Berryhill (Colorado State),3:56.52 (2),Wanganui,16-Jan
229. Tim Broe (Alabama),3:59.38i (1),Notre Dame,6-Feb
230. Jonathon Riley (Stanford),3:58.72i (2),Ames,6-Feb
231. Adam Goucher (Fila),3:57.63 (1),Eugene,15-May
,,,
2000,,,
232. Jason Lunn (Farm Team),3:58.42i (2),Boston,29-Jan
233. Rich Kenah (New Balance),3:59.43i* (6),Fayetteville,12-Feb
234. Dwight Davis (Tulsa),3:59.29* (3),Walnut,16-Apr
235. Sam Gabremariam (Reebok East),3:59.17* (4),Philadelphia,29-Apr
236. Steve Fein (Oregon),3:59.35* (3),Eugene,13-May
237. Mike Miller (FTW),3:59.86 (5),Eugene,13-May
,,,
2001,,,
238. Alan Webb (Virginia HS),3:59.86i (3),New York City,20-Jan
239. Dan Wilson (unattached),3:59.14i* (4),Roxbury Crossing,4-Feb
240. Sharif Karie (Arkansas),3:59.60i* (6),Fayetteville,10-Feb
241. Charlie Gruber (Kansas),3:58.51i (2),Fayetteville,10-Mar
242. Jeremy Tolman (Weber State),3:59.99i* (6),Fayetteville,10-Mar
243. Andy Downin (Wisconsin RRT),3:59.39 (2),Des Moines,28-Apr
244. Clay Schwabe (Army),3:59.43* (4),Princeton,12-May
245. Ibrahim Aden (Nike),3:56.95 (7),Portland,3-Jun
,,,
2002,,,
246. Jeremy Huffman (Farm Team),3:59.81i* (5),New York City,1-Mar
247. Eric Garner (Washington),3:58.93i* (1),Seattle,2-Mar
248. Donald Sage (Stanford),3:59.49i* (2),Seattle,2-Mar
249. Brandon Strong (Arizona State),3:59.59i* (3),Seattle,2-Mar
250. Ray Hughes (Nike),3:59.78i* (4),Seattle,2-Mar
251. Matt Lane (Nike),3:57.57* (10),Eugene,26-May
252. Bolota Asmerom (Nike),3:59.86* (1),Stanford,8-Jun
,,,
2003,,,
253. Rob Myers (Ohio State),3:58.64i (1),Lexington,8-Feb
254. Luke Watson (Notre Dame),3:57.83i* (1),Notre Dame,8-Feb
255. Ian Connor (Nike),3:58.24i* (5),Notre Dame,8-Feb
256. Jason Long (Asics),3:59.99i* (4),New York City,15-Feb
257. Grant Robison (Stanford),3:58.95i* (1),Seattle,8-Mar
,,,
2004,,,
258. Jordan Desilets (Eastern Michigan),3:59.83i* (4),Notre Dame,7-Feb
259. Nathan Robison (BYU),3:59.99i* (1),Seattle,14-Feb
260. Steve Slattery (Nike),3:59.78 (7),Eugene,19-Jun
261. Aaron Lanzel (US Navy),3:59.88* (8),Eugene,19-Jun
262. Said Ahmed (Arkansas),3:57.33 (2),Burnaby,1-Jul
263. Chris Estwanik (Nike Farm Team),3:58.17* (3),Burnaby,1-Jul
264. Daniel Lincoln (Nike),3:57.68* (11),London,30-Jul
,,,
2005,,,
265. Bernard Lagat (Nike),3:53.61i (2),Roxbury Crossing,29-Jan
266. Scott McGowan (New Balance),3:58.91i (7),Roxbury Crossing,29-Jan
267. Sean Jefferson (Indiana),3:56.44i* (1),Notre Dame,5-Feb
268. John Jefferson (Indiana),3:57.85i (2),Notre Dame,5-Feb
269. Leo Manzano (Texas),3:59.86i (1),Lincoln,26-Feb
270. Jon Rankin (UCLA),3:57.89 (1),Westwood,9-Apr
271. Bryan Lindsay (BYU),3:59.16* (2),Westwood,9-Apr
272. Anthony Famiglietti (adidas),3:58.23 (1),Nashville,4-Jun
,,,
2006,,,
273. Sean O’Brien (Nike Farm Team),3:59.05i (1),Seattle,14-Jan
274. Elliott Blount (Nike Farm Team),3:59.61i* (4),Seattle,14-Jan
275. Chris Lukezic (Reebok),3:58.53i (10),Roxbury Crossing,28-Jan
276. Ryan Kleimenhagen (Team Minnesota),3:59.00i* (11),Roxbury Crossing,28-Jan
277. Russell Brown (Stanford),3:59.65i (3),Fayetteville,10-Feb
278. Austin Abbott (Washington),3:59.47i (2),Seattle,11-Feb
279. Stephen Pifer (Colorado),3:59.55i (3),Seattle,11-Feb
280. Christian Smith (Kansas State),3:59.60i* (2),Ames,4-Mar
281. Michael McGrath (Oregon),3:59.25i* (1),Seattle,4-Mar
282. Jason Jabaut (Nike Farm Team),3:59.07 (4),Beaverton,4-May
283. Matt Tegenkamp (Nike),3:56.38* (1),Madison,6-May
284. Chris Solinsky (Wisconsin),3:57.80 (2),Madison,6-May
,,,
2007,,,
285. Nick Symmonds (Oregon TC),3:56.72i* (1),Seattle,13-Jan
286. Garrett Heath (Stanford),3:59.60i (2),Seattle,10-Feb
287. Blake Boldon (Saucony),3:59.18i* (1),Ames,3-Mar
288. Josh McDougal (Liberty),3:57.46* (1),Lynchburg,31-Mar
289. David Torrence (Cal),3:58.62 (1),Berkeley,28-Apr
